,,,,Submit new DC Emoji here!,,,,,,
,Emoji name,,ID#,"Don't edit, add digital ID to column C",UUID,,,,,
"""\uD83C\uDFD2""",icehockeystickandpuck,🏒,1817569,,http://digitalcollections.nypl.org/items/7d20cdeb-e431-4a73-e040-e00a18060ccc,,,,,
"""\uD83C\uDFD3""",tabletennispaddleandball,🏓,1817553,,http://digitalcollections.nypl.org/items/7d20cdeb-e421-4a73-e040-e00a18060ccc,http://digitalcollections.nypl.org/items/510d47e4-4201-a3d9-e040-e00a18064a99,,,,
"""\uD83C\uDFD8""",housebuildings,🏘,1558457,,http://digitalcollections.nypl.org/items/510d47e2-d03b-a3d9-e040-e00a18064a99,,,,,
"""\uD83C\uDFE5""",hospital,🏥,104750,,http://digitalcollections.nypl.org/items/510d47d9-cb7f-a3d9-e040-e00a18064a99,,,,,
"""\uD83C\uDFE8""",hotel,🏨,2041933,,http://digitalcollections.nypl.org/items/a4958095-4506-074d-e040-e00a1806792c,,,,,
"""\uD83C\uDFF3""",wavingwhiteflag,🏳,808783,,http://digitalcollections.nypl.org/items/510d47e0-f629-a3d9-e040-e00a18064a99,,,,,
"""\uD83C\uDFF4""",wavingblackflag,🏴,831622,,http://digitalcollections.nypl.org/items/510d47e1-23e3-a3d9-e040-e00a18064a99,,,,,
"""\uD83C\uDFF5""",rosette,🏵,819837,,http://digitalcollections.nypl.org/items/510d47e1-1620-a3d9-e040-e00a18064a99,,,,,
"""\uD83C\uDFF7""",label,🏷,2005_6603_9_123_1,,http://digitalcollections.nypl.org/items/510d47e3-c590-a3d9-e040-e00a18064a99,,,,,
"""\uD83C\uDFF9""",bowandarrow,🏹,1564900,,http://digitalcollections.nypl.org/items/510d47e3-0ef0-a3d9-e040-e00a18064a99,http://digitalcollections.nypl.org/items/510d47e4-0c52-a3d9-e040-e00a18064a99,http://digitalcollections.nypl.org/items/510d47e1-3d37-a3d9-e040-e00a18064a99,http://digitalcollections.nypl.org/items/510d47e1-0946-a3d9-e040-e00a18064a99,,
"""\uD83D\uDC41\u200D\uD83D\uDDE8""",eyeinspeechbubble,,1670615,,http://digitalcollections.nypl.org/items/5e66b3e8-6c2e-d471-e040-e00a180654d7,,,,,
"""\uD83D\uDC45""",tongue,👅,1624395,,http://digitalcollections.nypl.org/items/510d47e4-593c-a3d9-e040-e00a18064a99,,,,,
"""\uD83D\uDC4A""",fistedhandsign,👊,115584,,http://digitalcollections.nypl.org/items/510d47d9-bd29-a3d9-e040-e00a18064a99,,,,,
"""\uD83D\uDC50""",openhandssign,👐,,,http://digitalcollections.nypl.org/items/5e66b3e9-2620-d471-e040-e00a180654d7,,,,,
"""\uD83D\uDC5C""",handbag,👜,1671843,,http://digitalcollections.nypl.org/items/5e66b3e8-c184-d471-e040-e00a180654d7,,,,,
